id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_CSF02718,BKK:BKK_CSF02718,47.508399,19.094853,Stefánia út / Thököly út,1146,CSF02718,,k{}`HmrpsBPHLRDX?\e@dEGTKPOFQ?mCm@OIKQEY?YZsDDWHONKN?xCX,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF02708,BKK:BKK_CSF02708,47.510314,19.084191,Dvořák sétány,1146,CSF02708,,el~`HmlnsBAYDYHSNKPCNFLNFVXxB@XEXIROJQBOGMQGUYyB,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF02712,BKK:BKK_CSF02712,47.510213,19.090331,Zichy Géza utca,1146,CSF02712,,al~`H}rosBGW?YFWJQNIP?NHJPfA`DDV?ZEVKPOHQ?OIMQeAcD,1,stop-area,False,[],OTHER,"{'colors': ['000000', 'E41F18']}",,
BKK_CS011732,BKK:BKK_CS011732,47.497833,19.054473,Deák Ferenc tér,1051,CS011732,,gw{`HsbisBNMPCNFLNHV?XQ|FANiCzOIRKLOFOA{H_CMIKSEW?YFWb@iADIhAgB??hJeN,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '005CA5', 'E41F18', '000000', '009EE3', 'EE7203'], 'type': 'PRIORITY', 'image': 'stop-icon-M1'}",,
BKK_CS011493,BKK:BKK_CS011493,47.489618,19.090158,Baross kocsiszín (Baross kapu),1086,CS011493,,aiz`HqrosBNDNLFTBXCXGTOLOBQCMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['777777']},,
BKK_CS009702,BKK:BKK_CS009702,47.492432,19.087855,Magdolna utca,1086,CS009702,,wuz`HicosBAXGVMNyEhDODOAMIKSEW?WDWh@_BBEdDaHJOPEP@LLJRBXHtE,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800']}",,
BKK_CS056232,BKK:BKK_CS056232,47.49497,19.077219,II. János Pál pápa tér,1081,CS056232,,wd{`HqbmsBNHJPDV?VEVKPoCbDOJO@QGyCgCAAaB_BKQEUAYDUHSNKNCxGTH@nBl@,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '4CA22F', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M4'}",,
BKK_CSF00922,BKK:BKK_CSF00922,47.48671,19.05736,Fővám tér,1093,CSF00922,,ipy`HmfisBJRDVAXGVKNuE`EQHQAOMKUe@wBAGYyBA]DYLUPIjEg@N@NJjAvA,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '4CA22F', '000000', '009EE3', 'E41F18'], 'type': 'PRIORITY', 'image': 'stop-icon-M4'}",,
BKK_CSF00924,BKK:BKK_CSF00924,47.493105,19.050566,Petőfi tér,1052,CSF00924,,{~z`Hc{gsBPDLLHT@XAXITMLQDQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CS008269,BKK:BKK_CS008269,47.484577,19.096308,Delej utca,1089,CS008269,,qiy`HkypsBPGP@LJJRDXAXGVKNo@f@OFQAOKKSCW?YFWLQl@g@,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00976,BKK:BKK_CSF00976,47.497885,19.047095,Eötvös tér,1051,CSF00976,,i}{`HkegsBNMPANFLNFV@XCVKTWZMLQ@OGMOGWAYBWJUT[,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800']}",,
BKK_CSF00979,BKK:BKK_CSF00979,47.498726,19.050168,József nádor tér,1051,CSF00979,,_b|`HsxgsBPDLLHT@XAXITMLQBQCMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF00981,BKK:BKK_CSF00981,47.498978,19.050884,Hild tér,1051,CSF00981,,qc|`Hc}gsBNDNLFTBXCXGTOLODQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF00980,BKK:BKK_CSF00980,47.498645,19.051535,Erzsébet tér,1051,CSF00980,,oa|`HeahsBPDLLHT@XAXITMLQDQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00983,BKK:BKK_CSF00983,47.492679,19.055753,Ferenciek tere,1053,CSF00983,,mwz`HyaisBNENBNJHPDVAXETyEbMMPQHQCOKIUE[AaDA??eC@WHULO|E{C,1,stop-area,False,[],OTHER,"{'colors': ['005CA5', '000000', '009EE3', 'FF9900'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF00982,BKK:BKK_CSF00982,47.495371,19.052782,Szervita tér,1052,CSF00982,,am{`H}hhsBPBLLHTBXCXITMLQDOEOMGUCYBYFUNMNC,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00986,BKK:BKK_CSF00986,47.499679,19.049464,Zrínyi utca,1051,CSF00986,,}g|`HgtgsBNDNLFTBXCXGTOLODQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00967,BKK:BKK_CSF00967,47.495592,19.048362,Vigadó tér,1051,CSF00967,,ko{`HylgsBLQPEN@NLJRBVAZGTINMNOFQCMKKSCY@YFUFO,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800']}",,
BKK_CSF00965,BKK:BKK_CSF00965,47.496704,19.050393,Vörösmarty tér,1051,CSF00965,,ys{`HewgsB@XEXKPOJQ@OIMQEWMoA?YDWHSNKP?NFLPFVJnA,1,stop-area,False,[],OTHER,"{'colors': ['FFD800'], 'type': 'PRIORITY', 'image': 'stop-icon-M1'}",,
BKK_CS069174,BKK:BKK_CS069174,47.48438,19.060928,Czuczor utca,1093,CS069174,,khy`H{{isBPDLLHTBXCXITMLQBOCMMIUCYBYHULMNE,1,stop-area,False,[],OTHER,"{'colors': ['009EE3', 'E41F18']}",,
BKK_CS072934,BKK:BKK_CS072934,47.489698,19.047151,Rudas Gyógyfürdő,1013,CS072934,,cez`HadgsBLNHT@XAXKTMLQBg@AGAeDw@OIKQGW?YFWFUJQNKn@OL?LBtC~A,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CS009647,BKK:BKK_CS009647,47.491893,19.087286,Baross kocsiszín (Magdolna kapu),1086,CS009647,,iwz`Hs`osBPDLLHTBXCXITMLQDOEOMIUAY@YHUNMNE,1,stop-area,False,[],OTHER,{'colors': ['FF9900']},,
BKK_CS109634,BKK:BKK_CS109634,47.486978,19.089063,Kőris utca,1089,CS109634,,gsy`HulosBNJJTDXAZIVON{GnDQDQEMOIWAYB[xA}FLUPKR?`ElA,1,stop-area,False,[],OTHER,"{'colors': ['009EE3', 'E41F18']}",,
BKK_CS049785,BKK:BKK_CS049785,47.498128,19.040508,Clark Ádám tér,1013,CS049785,,sy{`H_cfsBP@PLHTBZCZkBhJKTMJQDqAEGAiEeAOIMSEY@YFWLQjIsGNG|@I,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CS109884,BKK:BKK_CS109884,47.484031,19.090981,Ludovika Aréna,1089,CS109884,,ggy`HewosBJULMPCNDLLHV@XCVMn@ITMLQBOEOOGUCYBYLm@,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CS062518,BKK:BKK_CS062518,47.491171,19.051601,Március 15. tér,1056,CS062518,,woz`H}ahsBPFLNHV?ZCVKTOJiD`AS?SMcAsAKUC[@YJWLORCjEN??^@,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CS089515,BKK:BKK_CS089515,47.489528,19.061737,Kálvin tér,1092,CS089515,,qcz`HcojsBNKN?PFJPFV?X{@`REXKROH}FlASAOKKSyAsFCW?WDUJOpK{L,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '005CA5', '4CA22F', '000000', '009EE3', 'EE7203', 'E41F18'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF01019,BKK:BKK_CSF01019,47.494347,19.060706,Astoria,1088,CSF01019,,aa{`HavisBFT?XCVKRMJyDvAQ@SIKSGYs@gP?YFWJOLIP?NFJNlFpM,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', 'E41F18', '000000', '009EE3', 'EE7203'], 'type': 'PRIORITY', 'image': 'stop-icon-M2'}",,
BKK_CSF01109,BKK:BKK_CSF01109,47.498554,19.06551,Nyár utca,1072,CSF01109,,}`|`HoxjsBPBLNHTBVCXITMNQBQCMOIUAY@WHULOPC,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF01108,BKK:BKK_CSF01108,47.495515,19.060134,Károly körút (Astoria M),1072,CSF01108,,}m{`H}visBPDLLHT@XAXITMLQDQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF01110,BKK:BKK_CSF01110,47.496278,19.065642,Nagy Diófa utca,1072,CSF01110,,ur{`HiyjsBNBNLFTBXCXGTOLODQEMMIUCYBYHULMPC,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF01116,BKK:BKK_CSF01116,47.496618,19.070646,Blaha Lujza tér,1085,CSF01116,,ol{`HeyksB?XGVcFtLKPQFQCoIcDOKIQEW@WDU~CoJPWvJyFNCN@LJHRDVZtI,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', 'E41F18', '000000', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M2'}",,
BKK_CSE09801,BKK:BKK_CSE09801,47.49764,19.038573,Szent György tér,1013,CSE09801,,g{{`HepesBPDLLHTBXCXITMLQDOEMMIUCYBYHULMNE,1,stop-area,False,[],OTHER,{'colors': ['777777']},,
BKK_CSF01190,BKK:BKK_CSF01190,47.485697,19.070357,Corvin-negyed,1085,CSF01190,,ely`HeblsBPKP?NJJPFXAZyArOIXMPqEpCMDOAOIIQEUo@yH?YDWJSxIkJ,1,stop-area,False,[],OTHER,"{'colors': ['FFD800', '005CA5', '000000', '009EE3', 'EE7203'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF01199,BKK:BKK_CSF01199,47.48979,19.070965,Harminckettesek tere,1085,CSF01199,,khz`Ho~ksBPIN@NJJPDX?Xc@pEGXMPSDuADUGcAq@MQIY?[FYLSzDcD,1,stop-area,False,[],OTHER,"{'colors': ['FFD800', '000000', '009EE3', 'E41F18']}",,
BKK_CSF01171,BKK:BKK_CSF01171,47.495613,19.065111,Uránia,1072,CSF01171,,wo{`HkujsBFWLQNGP@NJHRDX?XKx@GVKNQFQ?MKKSEY@YHy@,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF01175,BKK:BKK_CSF01175,47.489083,19.06633,Szentkirályi utca,1085,CSF01175,,wcz`HgyjsB@ZCVITOJOBQEMOGWk@}DAYBYJULKPCNFLNHTh@|D,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF01176,BKK:BKK_CSF01176,47.48912,19.080382,Muzsikus cigányok parkja,1083,CSF01176,,sez`HanmsBGTMPODQAOMISEY@Y~@gHFWLONGPBNJHRDXAX_AhH,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF01182,BKK:BKK_CSF01182,47.499584,19.095937,Gumigyár,1087,CSF01182,,ag|`HcrpsBMLQDOEMMIUCYBYHUh@{@LOPCNDLLHTBXCXITi@z@,1,stop-area,False,[],OTHER,"{'colors': ['000000', 'E41F18']}",,
BKK_CSF01180,BKK:BKK_CSF01180,47.488882,19.095768,Kőbányai út 21.,1087,CSF01180,,mbz`HmtpsBDV?VEVIPi@n@OJQ?QIKSGYEcA?WDUHQZ_@NKPAPJLRRr@,1,stop-area,False,[],OTHER,{'colors': ['FFD800']},,
BKK_CSF01185,BKK:BKK_CSF01185,47.487176,19.068213,Üllői út,1085,CSF01185,,yyy`HmiksBPDLLHT@XAXITMLQDQEMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF01163,BKK:BKK_CSF01163,47.497491,19.074043,Kiss József utca,1081,CSF01163,,iz{`H{mlsBPDLLHTBXCXITMLQDOEOMGUCYBYFUNMNE,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF01161,BKK:BKK_CSF01161,47.499167,19.078052,Huszár utca,1081,CSF01161,,qc|`HmbmsBEXKPOJQ@OGKQGWAYLeCDWHSNKP?NFLPFV?XKbC,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CS016729,BKK:BKK_CS016729,47.493459,19.032637,Naphegy tér,1016,CS016729,,s_{`HghdsB?ZGTMPOFQAOKKSCWE_A@YFWJONIP@NJJRDXB|@,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CS117920,BKK:BKK_CS117920,47.499352,19.087437,"Kerepesi út,MOL-töltőállomás",1087,CS117920,,}e|`HqaosBPDLLHTBXCXITMLQDOEOMGUCYBYFUNMNE,1,stop-area,False,[],OTHER,{'colors': ['777777']},,
BKK_CS082622,BKK:BKK_CS082622,47.498114,19.034494,Tábor utca,1012,CS082622,,e~{`HuvdsBPDLLHTBXCXITMLQDQEMMIUAY@YHULMPE,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CS008694,BKK:BKK_CS008694,47.486933,19.067178,Köztelek utca,1092,CS008694,,ixy`H}bksBPDLLHTBXCXITMLQBOCOMIUAY@YHUNMNE,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF01209,BKK:BKK_CSF01209,47.49221,19.078798,Mátyás tér,1084,CSF01209,,myz`HofmsBOLO@QEMOGWAYBYJSbAwANKNCPFLNFT@XCXKRcAvA,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF01207,BKK:BKK_CSF01207,47.489486,19.077052,Horváth Mihály tér,1082,CSF01207,,ugz`Ho{lsBITMLQBQGMOGUAYBYh@iCJSLMPCNDLNHT@XCXk@hC,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF01217,BKK:BKK_CSF01217,47.489641,19.090653,Orczy tér,1086,CSF01217,,gcz`HexosB@ZEZcBnGKROJQ@yDg@QIKQGY?YDYn@eBBG`E{HLOPEPDNLHVl@zD,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3', 'E41F18']}",,
BKK_CSF01221,BKK:BKK_CSF01221,47.489267,19.08563,Kálvária tér,1089,CSF01221,,ccz`HitnsBJRDV?XEVSj@IPOJO?OEgEyCMOGWAYDYHSNKlAc@RAPJlClC,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF01227,BKK:BKK_CSF01227,47.485836,19.092803,Golgota tér,1089,CSF01227,,aly`HocpsBPFLPFX?ZEXMRQFcH|@QAMIKQEWAWF}@F[NSPG~DIB?~AH,1,stop-area,False,[],OTHER,"{'colors': ['FFD800', '009EE3']}",,
BKK_CSF01225,BKK:BKK_CSF01225,47.488403,19.08825,Csobánc utca,1086,CSF01225,,oaz`HsfosBPBLNHTBVCXITMNQBOCOOIUAY@WHUNONC,1,stop-area,False,[],OTHER,{'colors': ['E41F18']},,
BKK_CSF01200,BKK:BKK_CSF01200,47.492681,19.071378,Rákóczi tér,1085,CSF01200,,ayz`HqyksBBZEZMTQJu@NUAQMe@q@KYA_@PcGDWHSLKPCNDLNHRhAfH,1,stop-area,False,[],OTHER,"{'colors': ['FFD800', '4CA22F', '000000', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M4'}",,
BKK_CSF01280,BKK:BKK_CSF01280,47.490945,19.096685,"Salgótarjáni utca, temető",1087,CSF01280,,qpz`HkvpsBGTMNQFOCOMISEYBY^kCFWLOPENBNLHRDXCX_@jC,1,stop-area,False,[],OTHER,{'colors': ['FFD800']},,
BKK_CSF01250,BKK:BKK_CSF01250,47.499578,19.090581,Arena Mall bevásárlóközpont,1087,CSF01250,,yf|`H_nosBEVMPOFQAOKKSEW@Yr@cHFWLQNGP@LJJRDV?Xu@bH,1,stop-area,False,[],OTHER,"{'colors': ['000000', 'E41F18']}",,
